,index,Wine Type,Country,Final Price,Grape Variety,Rating Score,Wine Name,alcohol_percent,food_pairing,,alcohol_percent_lower,alcohol_percent_upper
144,2914,Red,Spain,16.99,Other Red Blends,91,Palacios Remondo La Montesa,13-14%,Lamb,,13,14
145,2915,Red,Spain,14.99,Other Red Blends,90,Palacios Remondo Rioja Vendimia,13-14%,Lamb,,13,14
147,2919,Red,Spain,54.99,Tempranillo,95,Bodegas Muga Gran Reserva Prado Enea,13-14%,Lamb,,13,14
148,2925,Red,Spain,21.99,Tempranillo,91,Marques de Murrieta Rioja Reserva,13-14%,Lamb,,13,14
150,2933,Red,USA,49.99,Bordeaux,90,Conn Creek Anthology,14-15%,Beef and Venison,,14,15
151,2940,Red,USA,64.99,Bordeaux,92,Justin Isosceles,14-16%,Beef and Venison,,14,16
152,2946,Red,USA,139.99,Bordeaux,94,Pahlmeyer Napa Valley Proprietary Red,15%,Beef and Venison,,15,15
153,2947,Red,USA,73.99,Cabernet Sauvignon,90,Cakebread Cabernet Sauvignon,14%,Beef and Venison,,14,14
154,2948,Red,USA,29.99,Cabernet Sauvignon,90,Emblem Napa Valley Cabernet Sauvignon,14%,Beef and Venison,,14,14
155,2955,Red,USA,79.99,Cabernet Sauvignon,90,Etude Napa Valley Cabernet Sauvignon,14%,Beef and Venison,,14,14
156,2957,Red,USA,199.99,Cabernet Sauvignon,100,Joseph Phelps Insignia,13-15%,Beef and Venison,,13,15
157,2958,Red,USA,109,Cabernet Sauvignon,100,Joseph Phelps Insignia ,13-15%,Beef and Venison,,13,15
158,2959,Red,USA,35.99,Cabernet Sauvignon,90,Louis Martini Napa Valley Cabernet Sauvignon,13-15%,Beef and Venison,,13,15
159,2964,Red,USA,21.99,Cabernet Sauvignon,90,Michael David Winery Freakshow,15%,Lamb,,15,15
160,2965,Red,USA,56.99,Cabernet Sauvignon,89,Pine Ridge Napa Cabernet Sauvignon,14%,Beef and Venison,,14,14
161,2971,Red,USA,24.99,Cabernet Sauvignon,91,Roth Alexander Valley Cabernet Sauvignon,13-14%,Beef and Venison,,13,14
162,2977,Red,USA,57.99,Cabernet Sauvignon,93,Round Pond Estate Rutherford Cabernet Sauvignon,14-15%,Beef and Venison,,14,15
163,2978,Red,USA,33.99,Cabernet Sauvignon,91,St. Supery Cabernet Sauvignon,13-15%,Beef and Venison,,13,15
164,2979,Red,USA,29.99,Merlot,92,Freemark Abbey Merlot,13-14%,Lamb,,13,14
165,2986,Red,USA,18.99,Other Red Blends,88,Gundlach Bundschu Mountain Cuvee,13-14%,Beef and Venison,,13,14
167,2999,Red,USA,18.99,Other Red Blends,91,Michael David Winery Petite Petit,14-15%,Lamb,,14,15
168,3000,Red,USA,39.99,Other Red Blends,92,The Prisoner Wine Company Prisoner,15%,Lamb,,15,15
169,3001,Red,USA,28.99,Other Red Wine,93,Taken Wine Company Napa Valley Red Blend,14%,Beef and Venison,,14,14
170,3008,Red,USA,19.99,Pinot Noir,93,Migration Russian River Pinot Noir ,14%,"Duck, Goose and Game Birds",,14,14
171,3015,Red,USA,17.99,Pinot Noir,91,Siduri Santa Lucia Highlands Pinot Noir ,14%,Chicken and Turkey,,14,14
172,3024,Red,USA,33.99,Rhone Red Blends,93,Limerick Lane Syrah / Grenache,14%,Lamb,,14,14
173,3031,Red,USA,17.99,Zinfandel,90,Michael David Winery 7 Deadly Zins Zinfandel,14-15%,Lamb,,14,15
174,3038,Red,USA,45.99,Pinot Noir,92,Evening Land Eola-Amity Hills Seven Springs Vineyard Pinot Noir,13%,Chicken and Turkey,,13,13
175,3044,Red,USA,78.99,Bordeaux,94,Col Solare,14-15%,Beef and Venison,,14,15
176,3053,Red,USA,33.99,Cabernet Sauvignon,91,Chateau Ste. Michelle Cold Creek Vineyard Cabernet Sauvignon,14-16%,Beef and Venison,,14,16
177,3056,Red,Argentina,17.99,Malbec,89,La Posta Angel Paulucci Vineyard Malbec,13-14%,Beef and Venison,,13,14
178,3064,Red,Argentina,19.99,Malbec,90,Terrazas de los Andes Reserva Malbec,14-15%,Beef and Venison,,14,15
179,3066,Red,Argentina,31.99,Malbec,91,Tikal Amorio Malbec,13-14%,Beef and Venison,,13,14
180,3073,Red,Australia,19.99,Syrah/Shiraz,91,Tait The Ball Buster,15-16%,Beef and Venison,,15,16
181,3074,Red,Australia,21.99,Syrah/Shiraz,91,Torbreck Woodcutters Shiraz,14-15%,Beef and Venison,,14,15
182,3083,Red,Australia,24.99,Syrah/Shiraz,91,d'Arenberg Laughing Magpie Shiraz Viognier,13-15%,Beef and Venison,,13,15
183,3085,Red,France,32.99,Rhone Red Blends,89,Domaine du Vieux Lazaret Chateauneuf-du-Pape,14-15%,Lamb,,14,15
184,3092,Red,France,17.99,Rhone Red Blends,89,Domaine du Vieux Lazaret Chateauneuf-du-Pape ,14-15%,Lamb,,14,15
185,3098,Red,Italy,239,Nebbiolo,97,Gaja Sperss,14%,Lamb,,14,14
186,3104,Red,Italy,22.99,Nebbiolo,90,Marchesi di Gresy Nebbiolo Martinenga,13-14%,Lamb,,13,14
187,3113,Red,Italy,19.99,Other Red Blends,91,Poggio al Tesoro Mediterra,13-14%,Beef and Venison,,13,14
188,3119,Red,Italy,18.99,Sangiovese,91,Castello di Meleto Chianti Classico,13-15%,Lamb,,13,15
189,3125,Red,Italy,23.99,Sangiovese,90,Col d'Orcia Rosso di Montalcino,14%,Beef and Venison,,14,14
190,3128,Red,Spain,10.99,Grenache,88,Artazu Artazuri Garnacha,14%,Lamb,,14,14
191,3135,Red,Spain,15.99,Grenache,91,Bodegas Breca,14%,Lamb,,14,14
192,3141,Red,Spain,8.99,Grenache,89,Bodegas Breca Garnacha de Fuego,14%,Lamb,,14,14
193,3144,Red,Spain,18.99,Grenache,92,Borsao Tres Picos Garnacha,14-15%,Lamb,,14,15
194,3145,Red,Spain,12.99,Mourvedre,91,Bodegas Olivares Altos de la Hoya,13-14%,Lamb,,13,14
195,3152,Red,Spain,16.99,Mourvedre,92,Bodegas Volver Tarima Hill,15%,Lamb,,15,15
196,3158,Red,Spain,15.99,Tempranillo,90,Bodegas Barco de Piedra Tempranillo,13-14%,Lamb,,13,14
197,3166,Red,Spain,12.99,Tempranillo,90,Vina Gormaz Tempranillo,12-14%,Lamb,,12,14
198,3167,Red,Spain,10.99,Other Red Wine,90,Bodegas y Vinedos Ilurce Rio Madre Graciano,14%,Lamb,,14,14
199,3174,Red,Spain,19.99,Tempranillo,90,Sierra Cantabria Crianza,13-14%,Lamb,,13,14
200,3175,Red,USA,68.99,Cabernet Sauvignon,91,Joseph Phelps Cabernet Sauvignon,14%,Beef and Venison,,14,14
201,3176,Red,USA,53.99,Cabernet Sauvignon,93,Ramey Cabernet Sauvignon,14%,Beef and Venison,,14,14
202,3183,Red,USA,59.99,Pinot Noir,92,Chasseur Umino Pinot Noir,14%,"Duck, Goose and Game Birds",,14,14
203,3188,Red,USA,74.99,Pinot Noir,92,Pahlmeyer Sonoma Coast Pinot Noir,14-15%,"Duck, Goose and Game Birds",,14,15
204,3190,Red,USA,29.99,Pinot Noir,90,WillaKenzie Estate Gisele Pinot Noir,13-14%,Chicken and Turkey,,13,14
205,3193,Red,USA,89.99,Bordeaux,94,Figgins Estate Red Wine,14%,Beef and Venison,,14,14
206,3194,Red,Argentina,10.99,Malbec,88,Trivento Malbec Reserve,13-14%,Beef and Venison,,13,14
207,3196,Red,Argentina,10.99,Other Red Blends,88,Alamos Red Blend,13-14%,Beef and Venison,,13,14
208,3205,Red,Argentina,19.99,Other Red Wine,93,Bodega Garzon Tannat,13-14%,Beef and Venison,,13,14
209,3207,Red,Chile,13.99,Other Red Blends,92,Montes Twins Red Blend,14%,Beef and Venison,,14,14
210,3208,Red,Italy,89,Nebbiolo,96,Marchesi di Barolo Barolo Cannubi,13-14%,Lamb,,13,14
211,3210,Red,Italy,10.99,Sangiovese,88,Badia a Coltibuono Cetamura Chianti,12-13%,Lamb,,12,13
212,3217,Red,Italy,21.99,Sangiovese,88,Santa Margherita Chianti Classico Riserva,13-14%,Lamb,,13,14
213,3223,Red,New Zealand,19.99,Pinot Noir,90,Mohua Pinot Noir,13-14%,"Duck, Goose and Game Birds",,13,14
214,3226,Red,Spain,37.99,Tempranillo,98,Faustino I Gran Reserva,13-14%,Lamb,,13,14
215,3227,Red,USA,24.99,Bordeaux,92,Robert Hall Meritage Red Blend,14-15%,Lamb,,14,15
216,3233,Red,USA,32.99,Cabernet Sauvignon,91,Atalon Cabernet Sauvignon,13-15%,Beef and Venison,,13,15
217,3239,Red,USA,57.99,Cabernet Sauvignon,95,DAOU Vineyards Reserve Cabernet Sauvignon,14%,Beef and Venison,,14,14
218,3242,Red,USA,71.99,Cabernet Sauvignon,95,Kenwood Artist Series Cabernet Sauvignon,14-16%,Beef and Venison,,14,16
219,3249,Red,USA,57.99,Cabernet Sauvignon,95,Levendi Stagecoach Cabernet Sauvignon,14-15%,Beef and Venison,,14,15
220,3251,Red,USA,9.99,Cabernet Sauvignon,90,Pennywise Cabernet Sauvignon,13-14%,Beef and Venison,,13,14
221,3252,Red,USA,19.99,Cabernet Sauvignon,91,Plungerhead Dry Creek Cabernet Sauvignon,14%,Beef and Venison,,14,14
222,3253,Red,USA,13.99,Cabernet Sauvignon,90,Plungerhead Lodi Cabernet Sauvignon,14%,Beef and Venison,,14,14
223,3256,Red,USA,19.99,Cabernet Sauvignon,90,Rodney Strong Cabernet Sauvignon,13-14%,Beef and Venison,,13,14
224,3263,Red,USA,55.99,Cabernet Sauvignon,91,Stag's Leap Wine Cellars Artemis Cabernet Sauvignon,13-14%,Beef and Venison,,13,14
225,3264,Red,USA,32.99,Cabernet Sauvignon,91,Stag's Leap Wine Cellars Artemis Cabernet Sauvignon ,13-14%,Beef and Venison,,13,14
226,3265,Red,USA,89,Merlot,95,Duckhorn Three Palms Merlot,14%,Lamb,,14,14
