Wine Type,Final Price,Grape Variety,Rating Score,Wine Name,Alcohol_Percent
Red,39.99,Merlot,95,Grgich Hills Merlot,0
Red,11.99,Merlot,91,Leese-Fitch Merlot,0
Red,18.99,Other Red Blends,92,Brassfield Eruption Red Blend,0
Red,11.99,Other Red Blends,90,Eppa SupraFruta Organic Red Sangria,0
Red,9.99,Other Red Blends,90,Hey Mambo Sultry Red,0
Red,41.99,Pinot Noir,92,Gary Farrell Russian River Pinot Noir,0
Red,15.99,Zinfandel,88,Brazin Old Vine Lodi Zinfandel,0
Red,11.99,Zinfandel,88,Four Vines Truant Zinfandel,0
Red,21.99,Pinot Noir,89,A to Z Pinot Noir,0
Red,29.99,Bordeaux,94,Browne Family Vineyards Tribute Red Blend,0
Red,10.99,Syrah/Shiraz,88,d'Arenberg Stump Jump Shiraz,0
Red,15.99,Gamay,91,Maison L'Envoye Morgon Cote du Py,0
Red,34.99,Rhone Red Blends,94,Domaine du Gour de Chaule Gigondas Cuvee Tradition,0
Red,69.99,Nebbiolo,96,Domenico Clerico Barolo Ciabot Mentin Ginestra,0
Red,55.99,Nebbiolo,94,Marcarini Barolo Brunate,0
Red,219,Bordeaux,97,Tenuta dell'Ornellaia,0
Red,17.99,Other Red Blends,93,Poggio al Tufo Rompicollo,0
Red,99,Sangiovese,95,Antinori Tignanello,0
Red,23.99,Sangiovese,90,Castellare Chianti Classico,0
Red,18.99,Sangiovese,89,Castello di Volpaia Chianti Classico,0
Red,18.99,Sangiovese,89,Fattoria del Cerro Vino Nobile di Montepulciano,0
Red,23.99,Sangiovese,95,Felsina Chianti Classico Riserva Rancia (half-bottle),0
Red,29.99,Sangiovese,92,Fonterutoli Chianti Classico,0
Red,99,Sangiovese,96,Il Poggione Brunello di Montalcino Riserva,0
Red,29.99,Other Red Wine,92,Zenato Valpolicella Superiore Ripassa,0
Red,12.99,Other Red Blends,88,Bodegas Carchelo C,0
Red,139.99,Bordeaux,94,Dominus Estate,0
Red,49.99,Bordeaux,91,Dominus Napanook Vineyard,0
Red,89.99,Cabernet Sauvignon,92,Beaulieu Vineyard Georges de Latour Private Reserve,0
Red,56.99,Cabernet Sauvignon,93,Chappellet Signature Cabernet Sauvignon,0
Red,114.99,Cabernet Sauvignon,94,Chateau Montelena Estate Cabernet Sauvignon,0
Red,115,Cabernet Sauvignon,92,Chateau Montelena Estate Cabernet Sauvignon,0
Red,54.99,Cabernet Sauvignon,90,Hall Napa Valley Cabernet Sauvignon,0
Red,179.99,Cabernet Sauvignon,95,Joseph Phelps Insignia,0
Red,79.99,Cabernet Sauvignon,95,La Jota Howell Mountain Cabernet Sauvignon,0
Red,79.99,Cabernet Sauvignon,94,Mt. Brave Cabernet Sauvignon,0
Red,109,Cabernet Sauvignon,97,Philip Togni Cabernet Sauvignon,0
Red,44.99,Cabernet Sauvignon,92,Robert Craig Cellars Affinity Cabernet Sauvignon,0
Red,44.99,Pinot Noir,93,Joseph Phelps Freestone Vineyards Sonoma Coast Pinot Noir,0
Red,34.99,Pinot Noir,90,La Crema Russian River Pinot Noir,0
Red,37.99,Zinfandel,91,Ridge Pagani Ranch Zinfandel,0
Red,19.99,Other Red Wine,91,Bouza Tannat Reserva,0
Red,54.99,Malbec,94,Catena Alta Malbec,0
Red,18.99,Malbec,92,Salentein Reserve Malbec,0
Red,19.99,Other Red Blends,93,Bodega Noemia de Patagonia A Lisa,0
Red,25.99,Other Red Blends,92,Bodega Noemia de Patagonia A Lisa,0
Red,73.99,Syrah/Shiraz,94,Penfolds St. Henri Shiraz,0
Red,19.99,Other Red Blends,89,Yalumba The Scribbler,0
Red,19.99,Cabernet Sauvignon,90,Penley Estate Phoenix Cabernet Sauvignon,0
Red,34.49,Cabernet Sauvignon,93,Morande House of Morande,0
Red,15.99,Syrah/Shiraz,91,Merino Syrah,0
Red,9.99,Rhone Red Blends,90,Louis Bernard Cotes du Rhone Villages,0
Red,18.99,Barbera,91,Renato Ratti Barbera d'Asti,0
Red,34.99,Pinot Noir,93,Dog Point Vineyard Pinot Noir,0
Red,19.99,Other Red Blends,90,Vina Arnaiz Crianza,0
Red,26.65,Tempranillo,91,Abadia Retuerta Seleccion Especial,0
Red,49.99,Cabernet Sauvignon,93,Frog's Leap Estate Grown Cabernet Sauvignon,0
Red,49.99,Cabernet Sauvignon,92,Jordan Cabernet Sauvignon,0
Red,18.99,Merlot,92,Frog's Leap Merlot (375ML half-bottle),0
Red,33.99,Pinot Noir,95,Joseph Jewell Russian River Valley Pinot Noir,0
Red,18.99,Syrah/Shiraz,91,Qupe Central Coast Syrah,0
Red,16.99,Zinfandel,93,DeLoach Russian River Zinfandel,0
Red,15.99,Zinfandel,91,Frog's Leap Zinfandel (375ML half-bottle),0
Red,21.99,Zinfandel,91,Quivira Dry Creek Valley Zinfandel,0
Red,49.99,Pinot Noir,93,Adelsheim Elizabeth's Reserve Pinot Noir,0
Red,25.99,Pinot Noir,90,Benton Lane Pinot Noir,0
Red,54.99,Pinot Noir,94,Chapter 24 Fire + Flood The Flood Pinot Noir,0
Red,74.99,Pinot Noir,96,Chapter 24 Last Chapter Pinot Noir,0
Red,19.99,Pinot Noir,90,King Estate Acrobat Pinot Noir,0
Red,29.99,Pinot Noir,93,Willamette Valley Vineyards Estate Pinot Noir,0
Red,23.99,Bordeaux,93,Bodega Norton Privada,0
Red,15.99,Cabernet Sauvignon,90,Bodega Norton Reserve Cabernet Sauvignon,0
Red,18.99,Cabernet Sauvignon,90,Tapiz Alta Cabernet Sauvignon,0
Red,19.99,Malbec,91,Catena Malbec,0
Red,15.99,Malbec,91,Michel Torino Don David Reserve Malbec,0
Red,27.99,Malbec,94,SonVida Malbec,0
Red,19.99,Rhone Red Blends,91,d'Arenberg d'Arrys Original Shiraz/Grenache,0
Red,18.99,Carmenere,92,Vina Ventisquero Carmenere Grey Single Block Trinidad Vineyard,0
Red,22.99,Other Red Blends,91,Lapostolle Canto de Apalta Red Blend,0
Red,97.99,Bordeaux,96,Chateau Beausejour Duffau,0
Red,74.99,Bordeaux,95,Chateau Branaire-Ducru,0
Red,39.99,Bordeaux,92,Chateau de Pez,0
Red,19.99,Bordeaux,92,Chateau Des Annereaux Lalande de Pomerol,0
Red,42.99,Bordeaux,90,Chateau Gloria,0
Red,34.99,Bordeaux,93,Chateau Grand Mayne (Futures Pre-sale),0
Red,69.99,Bordeaux,91,Chateau Labegorce (1.5 Liter Magnum),0
Red,64.99,Bordeaux,92,Chateau Labegorce (1.5 Liter Magnum),0
Red,29.99,Bordeaux,90,Chateau Laffitte Laujac,0
Red,77.99,Bordeaux,95,Chateau Leoville Barton,0
Red,17.99,Bordeaux,90,Chateau Lyonnat Lussac - Saint Emilion,0
Red,79.99,Bordeaux,94,Chateau Magdelaine,0
Red,129,Bordeaux,96,Chateau Pontet-Canet,0
Red,14.99,Merlot,91,Château Mayne Vieil,0
Red,17.99,Rhone Red Blends,91,Gerard Bertrand Fitou,0
Red,17.99,Rhone Red Blends,90,Gerard Bertrand Syrah-Carignan Minervois,0
Red,14.99,Rhone Red Blends,90,Chateau de Segries Cotes du Rhone,0
Red,14.99,Rhone Red Blends,90,Guigal Cotes du Rhone Rouge,0
Red,39.99,Rhone Red Blends,93,Tardieu-Laurent Chateauneuf-du-Pape,0
Red,19.99,Nebbiolo,90,Damilano Marghe Nebbiolo Langhe,0
Red,48.99,Nebbiolo,94,Massolino Barolo,0
Red,28.99,Sangiovese,95,Felsina Fontalloro (375ML half-bottle),0
Red,15.99,Sangiovese,90,Lamole di Lamole Chianti Classico,0
Red,36.99,Other Red Blends,92,Accordini Igino Le Bessole Amarone della Valpolicella,0
Red,19.99,Other Red Blends,90,Allegrini Palazzo della Torre,0
Red,44.99,Other Red Wine,92,Goretti Sagrantino di Montefalco,0
Red,49.99,Other Red Wine,95,Masi Costasera Amarone Classico,0
Red,19.99,Pinot Noir,90,Saint Clair Family Estate Pinot Noir,0
Red,48.99,Other Red Blends,92,Marco Abella Mas Mallola,0
Red,8.99,Cabernet Sauvignon,88,Avalon California Cabernet Sauvignon,0
Red,99,Cabernet Sauvignon,94,Groth Reserve Cabernet Sauvignon,0
Red,13.99,Cabernet Sauvignon,88,Noble Vines 337 Lodi Cabernet Sauvignon,0
Red,19.99,Cabernet Sauvignon,90,Oberon Cabernet Sauvignon,0
Red,135,Cabernet Sauvignon,93,Quintessa,0
Red,73.99,Cabernet Sauvignon,93,Quintessa (375ML half-bottle),0
Red,109,Cabernet Sauvignon,95,Raymond Generations Cabernet Sauvignon,0
Red,19.99,Cabernet Sauvignon,89,RouteStock Route 29 Cabernet Sauvignon,0
Red,41.99,Cabernet Sauvignon,93,Stonestreet Estate Cabernet Sauvignon,0
Red,14.99,Merlot,90,Bonterra Organically Grown Merlot,0
Red,15.99,Merlot,91,Rays Station Merlot,0
Red,10.99,Other Red Blends,91,Bogle Essential Red,0
Red,14.99,Other Red Blends,91,GIFFT by Kathie Lee Gifford Red Blend,0
Red,23.99,Pinot Noir,93,Byron Santa Maria Pinot Noir,0
Red,22.99,Pinot Noir,91,Cambria Julia's Vineyard Pinot Noir,0
Red,19.99,Pinot Noir,90,Chateau St. Jean Sonoma Coast Pinot Noir,0
Red,38.99,Pinot Noir,92,Dutton Goldfield Dutton Ranch Pinot Noir,0
Red,9.99,Pinot Noir,90,Line 39 Pinot Noir,0
Red,19.99,Pinot Noir,90,Reata Three County Pinot Noir,0
Red,19.99,Pinot Noir,90,Rodney Strong Estate Pinot Noir,0
Red,16.99,Syrah/Shiraz,93,Andrew Murray Tous les Jours Syrah,0
Red,17.99,Syrah/Shiraz,91,Michael David Winery 6th Sense Syrah,0
Red,19.99,Syrah/Shiraz,92,Zaca Mesa Santa Ynez Valley Syrah,0
Red,18.99,Zinfandel,92,Carol Shelton Wild Thing Zinfandel,0
Red,22.99,Zinfandel,90,Decoy Zinfandel,0
Red,15.99,Zinfandel,92,Tierra Divina ZA ZIN,0
