,index,Wine Type,Country,Final Price,Grape Variety,Rating Score,Wine Name,alcohol_percent,food_pairing
145,2915,Red,Spain,14.99,Other Red Blends,90.0,Palacios Remondo Rioja Vendimia,0,
146,2918,Red,Spain,11.99,Other Red Wine,90.0,Antano Gran Seleccion Graciano,0,
147,2919,Red,Spain,54.99,Tempranillo,95.0,Bodegas Muga Gran Reserva Prado Enea,0,
148,2925,Red,Spain,21.99,Tempranillo,91.0,Marques de Murrieta Rioja Reserva,0,
149,2932,Red,USA,59.99,Bordeaux,94.0,Anderson's Conn Valley Vineyards Right Bank Proprietary Red Blend,0,
150,2933,Red,USA,49.99,Bordeaux,90.0,Conn Creek Anthology,0,
151,2940,Red,USA,64.99,Bordeaux,92.0,Justin Isosceles,0,
152,2946,Red,USA,139.99,Bordeaux,94.0,Pahlmeyer Napa Valley Proprietary Red,0,
153,2947,Red,USA,73.99,Cabernet Sauvignon,90.0,Cakebread Cabernet Sauvignon,0,
154,2948,Red,USA,29.99,Cabernet Sauvignon,90.0,Emblem Napa Valley Cabernet Sauvignon,0,
155,2955,Red,USA,79.99,Cabernet Sauvignon,90.0,Etude Napa Valley Cabernet Sauvignon,0,
156,2957,Red,USA,199.99,Cabernet Sauvignon,100.0,Joseph Phelps Insignia,0,
157,2958,Red,USA,109.0,Cabernet Sauvignon,100.0,Joseph Phelps Insignia (375ML half-bottle),0,
158,2959,Red,USA,35.99,Cabernet Sauvignon,90.0,Louis Martini Napa Valley Cabernet Sauvignon,0,
159,2964,Red,USA,21.99,Cabernet Sauvignon,90.0,Michael David Winery Freakshow,0,
160,2965,Red,USA,56.99,Cabernet Sauvignon,89.0,Pine Ridge Napa Cabernet Sauvignon,0,
161,2971,Red,USA,24.99,Cabernet Sauvignon,91.0,Roth Alexander Valley Cabernet Sauvignon,0,
162,2977,Red,USA,57.99,Cabernet Sauvignon,93.0,Round Pond Estate Rutherford Cabernet Sauvignon,0,
163,2978,Red,USA,33.99,Cabernet Sauvignon,91.0,St. Supery Cabernet Sauvignon,0,
164,2979,Red,USA,29.99,Merlot,92.0,Freemark Abbey Merlot,0,
165,2986,Red,USA,18.99,Other Red Blends,88.0,Gundlach Bundschu Mountain Cuvee,0,
166,2995,Red,USA,13.99,Other Red Blends,89.0,Marietta Old Vine Red #62,0,
167,2999,Red,USA,18.99,Other Red Blends,91.0,Michael David Winery Petite Petit,0,
168,3000,Red,USA,39.99,Other Red Blends,92.0,The Prisoner Wine Company Prisoner,0,
169,3001,Red,USA,28.99,Other Red Wine,93.0,Taken Wine Company Napa Valley Red Blend,0,
170,3008,Red,USA,19.99,Pinot Noir,93.0,Migration Russian River Pinot Noir (375ML half-bottle),0,
171,3015,Red,USA,17.99,Pinot Noir,91.0,Siduri Santa Lucia Highlands Pinot Noir (375ML),0,
